Person.id:START_ID(Person)|Organisation.id:END_ID(Organisation)|classYear
8796093024830|5497|2001
8796093026215|2214|2006
8796093027255|1986|2008
8796093027285|7899|2002
8796093027599|5148|2009
8796093028953|5985|2005
10995116282255|1804|2003
10995116288599|5235|2005
13194139534485|5983|2000
13194139536519|3013|2011
13194139537106|6392|2000
13194139538042|3006|2001
13194139538958|4667|2009
13194139540756|3011|2005
13194139541819|3015|2002
13194139542197|5980|2002
13194139542377|3006|2008
13194139542594|4513|2006
13194139543252|1800|2007
13194139543486|2384|2008
13194139543680|4747|2004
17592186046713|2525|2006
17592186048261|6624|2007
17592186050532|1764|2010
17592186052116|2489|2006
19791209300372|2830|2007
19791209304664|5949|2009
19791209306659|3011|2006
21990232560677|3010|2003
21990232560744|4595|2003
21990232562378|2208|2008
21990232562436|6148|2000
21990232562878|3014|2002
21990232564330|6625|2007
21990232564501|1576|2006
24189255818373|6432|2007
24189255818939|3013|2010
26388279067350|2207|2008
26388279068856|5862|2006
26388279070639|3008|2007
26388279072430|7871|2011
26388279073058|2209|2006
26388279074355|2691|2002
28587302322873|2491|1999
28587302327183|7897|2002
28587302332178|4517|2001
28587302332688|6394|2007
30786325580358|5232|2005
30786325581635|5047|2005
30786325581812|3010|2001
30786325585081|2644|1998
30786325586109|1838|2004
30786325586916|6669|2004
32985348837637|5529|2003
32985348837706|6229|2007
32985348837885|1980|1998
32985348838332|5265|2001
32985348840984|2827|2004
4598|3010|2002
6243|2207|2005
7650|3013|2007
7944|3012|1998
8865|5530|2007
9399|3008|2003
2199023259981|3006|2005
2199023262694|4999|1999
2199023263826|1981|2007
2199023264999|1972|2004
2199023265744|2209|2007
2199023265900|4516|1999
4398046517338|2988|2002
4398046519425|5185|2006
4398046521458|2383|1999
6597069770193|5234|2005
6597069770791|5500|2003
6597069774777|2490|2004
6597069776224|5038|2003
6597069776247|5980|2002
6597069777354|4517|2009
8796093024242|3506|2006
8796093026502|2206|2004
8796093029038|7945|2009
8796093029320|7554|2003
8796093030157|3011|2008
8796093032607|2214|2005
13194139533850|1801|2003
13194139536952|6364|2003
13194139538575|2207|2004
13194139539550|5525|2003
13194139541511|7873|2011
15393162789992|3007|2001
15393162790562|6393|2004
15393162790796|2212|2006
15393162790846|1582|2002
15393162795140|1640|2002
15393162797342|5238|2002
15393162798261|7894|2001
17592186044810|1961|2006
17592186052669|7892|2002
17592186053922|2989|2003
19791209300058|7893|2003
19791209301789|1981|2006
19791209304460|3015|2003
19791209308353|5183|2005
21990232556714|4512|2003
21990232557292|6801|2003
21990232557481|4598|2002
21990232559223|6166|2008
21990232561211|1981|1999
21990232562816|1779|2004
21990232565098|2991|2008
24189255816107|6542|2003
24189255817648|1974|2004
24189255818301|2209|2009
24189255819267|2990|1999
26388279068731|4256|2009
26388279070700|1643|2003
28587302322741|1857|1998
28587302325163|2206|2011
28587302326875|5043|2009
30786325580343|4748|2004
30786325581370|5981|2004
30786325584035|3009|2008
30786325584155|2490|2011
30786325588726|5150|2006
32985348833558|2830|2008
32985348835088|2488|2006
32985348835805|1853|2003
32985348842795|2978|2007
35184372091310|4991|2002
35184372094803|5235|2005
1922|6544|2001
4570|1579|2007
4693|2214|1999
5468|5271|2007
6789|7939|2006
7216|2983|2006
10039|7897|2002
2199023259620|6542|2011
2199023260870|3015|2005
2199023264045|2208|2007
2199023266163|1850|2001
2199023266324|1856|2007
4398046513754|6203|2001
4398046514546|5803|1998
4398046515215|6403|2008
4398046516633|5191|2003
6597069766961|5236|2002
6597069769604|6799|2008
6597069770702|4563|2009
6597069773103|5193|2009
6597069773842|5265|2004
6597069774122|4514|2008
8796093022367|6303|2007
8796093022641|7900|2004
8796093022764|2206|2007
8796093030945|6201|2006
10995116280508|4742|2006
10995116281275|3008|2000
10995116283556|1644|2005
13194139538935|1576|2004
13194139539868|2214|2002
13194139540816|2832|2006
13194139542993|2413|2000
13194139543105|5154|2011
13194139543125|7895|2003
13194139543793|3010|2009
17592186046758|7894|2004
17592186046830|7874|2009
17592186047743|4590|2001
17592186048493|1749|2001
17592186049298|2207|2007
19791209301403|6797|2003
19791209301577|4515|2003
19791209301717|3007|2003
19791209304899|1851|2009
19791209305854|6167|1999
19791209310755|5524|2001
21990232555940|2325|2000
21990232559951|1643|2005
24189255811398|2407|2004
24189255813494|7939|1999
24189255814438|1800|2001
24189255814765|5270|2007
24189255815607|2212|2008
24189255817388|5988|2007
24189255817427|5037|2005
24189255818526|2205|2002
24189255820453|2211|2004
26388279069549|2002|2001
26388279069739|3008|2008
26388279070667|3010|2006
26388279071820|2450|1998
26388279074202|7894|2006
28587302322686|2434|2004
28587302327505|6804|2008
28587302328276|4876|2002
30786325579136|1602|2007
30786325583484|2659|2011
30786325583551|3006|2005
30786325584765|6303|2003
30786325586018|2439|2002
32985348833849|5496|2001
32985348836714|6461|2011
32985348842332|3009|2004
32985348844221|3013|2000
1845|5237|2004
4822|1605|2007
5976|4510|2008
6096|3007|2008
8641|2206|2004
2199023257371|2384|2010
2199023262956|2211|2008
4398046511463|1857|2000
4398046512636|1853|2003
4398046513254|5146|2009
4398046518837|4749|2005
4398046519908|4995|2003
4398046519955|1857|2002
6597069766695|5985|2006
6597069767625|7893|1999
6597069769535|6484|2003
6597069770742|4991|2004
6597069772140|2835|2008
6597069772231|1644|2003
6597069776788|7893|2011
8796093022467|5269|2009
8796093024736|6093|2004
8796093026167|5525|2001
8796093026847|5987|1998
8796093029311|5088|2008
8796093029412|4112|2007
8796093030006|5529|2004
10995116281374|3006|2002
10995116281717|6307|2009
10995116286015|2834|2004
13194139533332|5036|2011
13194139535371|2648|2005
13194139536738|5074|2006
13194139538890|7894|2010
13194139542470|3008|2006
13194139542863|2235|2004
13194139542895|5988|2007
15393162789707|6350|2007
15393162794610|6151|2002
15393162794918|3014|2006
15393162796756|3015|2008
15393162798046|1643|1999
15393162798732|6623|2005
17592186054397|4946|2008
17592186054879|4841|2009
19791209308643|1987|2004
19791209309964|1575|2005
21990232556536|2527|2011
21990232560053|2556|2007
21990232564424|3006|2008
24189255811694|6625|2005
24189255813658|2946|2002
24189255818166|4991|2003
24189255819940|4944|2010
26388279068740|2699|2006
26388279069158|1612|2006
26388279070293|7901|2005
26388279074620|2209|2008
28587302326152|3904|2004
28587302328557|2703|2010
28587302330821|7899|2002
30786325577812|6617|2002
30786325577960|4676|1999
30786325579035|2982|1998
30786325579119|1972|2003
30786325583812|3008|2001
30786325585606|5267|2004
30786325587523|4749|1999
32985348834262|1608|2000
32985348834823|2176|2001
32985348835115|2207|2006
32985348841279|5146|2002
32985348842048|4590|2006
32985348842441|4747|2000
65|4991|2007
2329|2205|2001
3247|2666|2005
4296|2205|2002
4517|1613|2007
6013|7947|2007
7567|6150|2007
8436|5489|2002
9256|2210|2010
9995|3009|2004
2199023256530|1978|2005
2199023259063|1583|2002
2199023260929|6800|2006
2199023261235|5264|2008
2199023266303|3011|2005
4398046511535|5234|2009
4398046512826|2208|2002
4398046515161|2209|2008
4398046516395|4516|2010
4398046517240|5232|2003
4398046518350|5046|2006
4398046520260|2209|2006
4398046520915|1850|2003
4398046521391|5140|2011
6597069768287|5525|2005
6597069772822|2205|2005
6597069773166|5257|2007
8796093026188|5046|2011
8796093028172|3010|2007
8796093029854|4519|2008
8796093031803|2211|2003
10995116278915|2243|2006
10995116279491|5235|2007
10995116280436|2209|1998
10995116281838|5161|1999
10995116285358|2829|2000
10995116287429|4932|2006
10995116287916|5979|2009
10995116288012|5984|2006
10995116288188|6205|2002
13194139536061|1956|2008
13194139538128|6475|2007
13194139538405|5125|2005
13194139538406|2214|2002
13194139541453|5267|2010
13194139542764|4543|2010
15393162793063|2210|2000
15393162794474|2212|2008
15393162794494|3012|1999
15393162799486|3009|2002
17592186044824|3006|2004
17592186045865|3008|2008
17592186045981|4965|2000
17592186047761|4598|2005
17592186048352|5046|2004
17592186049726|2214|2006
17592186052685|4948|2006
17592186053162|2644|2006
17592186053700|3013|2001
17592186054028|2213|2002
19791209300739|2210|2008
19791209301463|2478|2002
19791209302057|5040|2007
19791209305255|5271|2000
19791209307478|1855|2005
19791209310429|1991|2007
19791209310932|2264|2009
21990232556180|6478|2004
21990232558990|2211|2011
21990232559581|2214|2002
21990232564541|1853|2001
24189255813058|3008|2004
24189255820983|7874|2005
26388279068269|2206|2008
26388279072418|2205|2008
26388279075701|2834|2007
26388279076336|4512|2010
28587302322755|2210|1999
28587302326294|7901|2007
28587302327096|3006|2007
28587302327630|5824|2004
28587302328299|6197|2011
28587302330023|1972|2001
30786325579545|6306|2004
30786325581842|6479|2003
30786325584666|6619|2001
32985348833679|6200|2007
32985348833686|1849|2003
32985348835269|2209|2010
32985348835589|4998|2009
32985348836807|3007|2004
32985348837090|3014|2001
32985348838981|3010|2008
32985348839311|6344|2007
32985348839614|2949|2002
32985348839686|5045|2006
32985348843180|1641|2000
35184372090589|3008|2002
35184372091820|2213|2005
1219|2946|2009
1791|2374|2005
3217|2647|2006
5474|5047|2001
8909|5893|2004
10438|2210|2002
10975|2205|2006
2199023257297|5947|2008
2199023258066|5270|2008
2199023258456|1837|2001
2199023258908|3010|2010
2199023260816|4997|2005
2199023261114|6172|2000
2199023262152|2209|2007
2199023262990|5265|2005
2199023264300|3011|2009
2199023264898|5982|2002
2199023265361|5988|2006
2199023266215|1858|2006
4398046513334|6469|2009
4398046515789|2251|2010
4398046516088|2695|2007
4398046519516|4519|2006
4398046521091|3011|2008
6597069768567|2832|2004
6597069772065|3013|2003
8796093022290|5147|2002
8796093023634|4668|2003
8796093025492|5804|2002
8796093025516|5236|2006
8796093029535|2927|2001
8796093032936|3009|2007
10995116279585|3006|2004
10995116281487|3015|2009
10995116281728|2209|2001
10995116282386|2835|2003
10995116285266|1801|2010
10995116285903|7898|2007
10995116288030|1954|2001
10995116288126|4750|2000
13194139540414|5036|2006
13194139541246|2328|2004
13194139541287|6666|2006
13194139541678|5270|1999
13194139543330|2207|2008
15393162789560|3011|2010
15393162791475|7901|2001
15393162794414|2827|2003
15393162798113|3007|2010
15393162799285|2528|2004
17592186044532|3010|2004
17592186044568|2211|2008
17592186045583|5948|2004
17592186047267|4596|2005
17592186047327|1853|2006
17592186049335|2209|1998
17592186052400|2514|2007
17592186053317|5175|2002
17592186055060|4510|2008
19791209300796|1858|1998
19791209307163|4991|2008
19791209310420|4751|2001
21990232556771|5190|2006
21990232557176|6545|2002
21990232559210|1800|2004
21990232562894|6802|2009
21990232565300|2831|2003
21990232565749|3015|1998
24189255813453|2682|2008
24189255816249|7954|2001
24189255818202|6306|2001
26388279067039|5521|2007
26388279070512|6796|2007
26388279071088|2212|2001
28587302325064|6797|2008
28587302326364|2650|2000
28587302326647|3012|2001
28587302327580|5235|2000
28587302327733|2209|2001
28587302327863|5047|2008
28587302328838|2213|2009
28587302330430|2210|2003
28587302330736|4742|2004
30786325578784|2213|2001
30786325580114|3008|2004
30786325580428|1577|2009
30786325580547|4841|2005
30786325583778|2206|2000
32985348836180|4512|2007
3325|5267|2001
8734|4589|2000
9616|1812|2010
2199023255747|3007|2006
2199023257284|7910|2003
2199023257348|5235|2007
2199023258134|2205|2002
2199023259817|3012|2008
2199023259837|1599|2003
2199023261420|3007|2005
2199023264187|2213|2004
4398046513032|2830|2007
4398046513938|1816|2002
4398046514136|6486|2002
4398046520132|7892|2005
4398046521879|2211|2004
6597069770782|4517|2003
6597069771397|3008|2004
6597069773598|5192|2001
6597069774734|3008|2001
8796093023215|5899|2007
8796093026886|2833|2007
8796093029276|2212|1999
8796093030808|2208|2004
8796093031072|6347|2007
10995116281629|3006|2004
10995116285532|2830|2001
10995116286901|2205|2008
13194139533648|3007|2001
13194139533912|2835|2006
13194139534520|1857|2002
13194139538191|5271|2004
13194139538623|4515|2004
13194139538794|6481|2005
13194139541315|5264|2006
13194139543357|2213|2007
15393162789226|4589|2006
15393162796608|2213|2005
15393162798684|1576|2005
17592186045370|2693|2003
17592186045646|6807|2002
17592186047200|5148|2007
17592186052493|2211|2004
17592186053488|2210|2000
17592186054530|5985|2003
17592186054924|2438|2003
17592186055331|3012|2008
19791209305138|3012|2000
19791209310001|7874|2004
21990232559692|7879|2007
21990232561364|6620|2004
24189255816055|1577|2008
24189255817946|2211|2004
24189255818912|5522|2004
24189255819092|2231|2003
24189255819252|7901|2000
26388279068705|5235|2003
26388279070079|2945|2001
26388279071301|1602|2003
26388279074006|4967|1999
26388279077248|2488|2004
28587302322718|2648|2004
28587302324945|1855|2001
28587302325040|2205|2004
28587302330027|5986|2001
28587302330220|6346|2009
30786325579394|5271|2009
30786325581681|6493|2003
30786325582056|1990|2000
30786325582810|6486|2003
30786325587419|3010|2002
30786325588039|2180|2008
30786325588498|6804|2000
32985348841829|2828|2011
32985348842179|5503|2006
7521|2207|2007
9496|6170|2004
2199023256919|4518|2002
2199023265734|2447|2007
4398046512818|4516|2004
4398046514951|7875|2002
4398046517867|1850|2000
6597069768005|5529|2011
6597069768934|1804|2006
6597069768956|2832|2009
6597069772533|6346|2010
6597069772886|7892|2003
8796093030982|2485|2009
10995116278292|2829|2009
10995116278973|4674|2005
10995116279272|3007|2003
10995116281209|6148|2003
10995116281248|3006|2009
10995116281419|5802|2000
10995116281609|6198|2009
10995116283175|7868|2010
10995116284332|7897|2006
10995116285077|7895|1999
10995116286348|1801|2011
10995116287090|4991|2007
13194139534836|5039|2008
13194139535032|5985|1998
13194139536457|6161|2003
13194139537472|2206|1999
13194139538093|1784|2006
13194139539825|4949|2005
13194139541093|4519|2009
13194139541907|5269|2003
13194139542779|3010|2009
13194139543686|2944|2000
15393162791500|2178|2002
15393162797323|3015|2006
15393162797440|1981|2009
15393162798722|3007|2006
17592186046041|1597|2003
17592186046788|6804|2004
17592186049008|5174|2005
17592186049252|4991|2000
19791209303059|6477|2005
19791209303129|3013|2007
19791209305437|3013|2003
19791209307684|2381|2002
21990232556947|6204|2003
21990232557823|4941|2007
21990232559412|2561|2003
21990232563142|6557|2003
21990232564276|4748|2007
21990232564408|3006|2003
21990232564459|5142|2004
21990232564878|2211|2010
21990232565317|7893|2002
24189255819499|5235|2000
24189255820046|2214|2007
24189255820240|3008|2000
24189255820408|6559|2004
26388279068372|4542|2003
26388279070070|2212|2008
26388279071145|2213|2006
26388279071334|3569|2000
26388279074619|5268|2002
26388279076484|1987|2002
28587302322627|5521|2008
28587302329408|1611|2006
28587302331601|2213|2001
30786325580021|6541|2000
30786325585528|2833|2009
30786325586428|6148|2007
32985348839609|3014|2006
32985348841200|2524|2004
893|2209|2007
3631|3009|2003
7038|5186|2006
8403|6540|2004
8463|5270|2004
9343|2894|2007
2199023258794|6482|2001
2199023258806|5528|2007
2199023259220|3007|1998
2199023260408|2207|2003
2199023263010|6802|2008
2199023263684|6473|2001
2199023264203|4747|2007
2199023265882|2208|2008
4398046513018|3011|2002
4398046513551|2214|2000
4398046515683|3008|2005
4398046517478|2212|2010
4398046517791|3585|2004
4398046519418|4514|2009
6597069770413|5092|2004
6597069772472|2205|2000
6597069773773|2171|2002
6597069774684|4941|2004
6597069775170|3169|2001
6597069776511|2214|2007
6597069777273|4745|2002
6597069777485|4991|2007
10995116277924|2833|2000
10995116282793|3006|2006
10995116284253|5496|2010
10995116284514|1981|2000
10995116286155|5046|1999
10995116286894|4516|2000
13194139534927|4743|2003
13194139540794|6801|2007
13194139543134|2431|2005
15393162790078|4515|1999
15393162790827|4579|2010
15393162791355|4746|2008
15393162793919|3013|2001
15393162794074|3010|2008
15393162794665|5267|2001
15393162795080|2211|2004
15393162795837|4517|2000
15393162799396|6118|2008
15393162799768|6199|2004
17592186047089|1986|2007
17592186051803|4947|2009
17592186052760|1813|2005
17592186053742|6541|2002
19791209303888|2208|2007
19791209303899|3009|2009
19791209306834|6441|2002
19791209310108|6545|2002
21990232555895|7892|2000
21990232556476|5496|2010
21990232558067|2831|2003
21990232560414|4746|2000
21990232560669|6672|2002
21990232561559|2208|2001
21990232561897|5266|2006
24189255817934|5042|1999
24189255819657|5864|2002
26388279073964|7892|2005
26388279077545|6149|2001
28587302326439|7892|2008
28587302330051|2206|2006
28587302330900|3010|2008
28587302332309|2832|2002
28587302332677|7900|2003
30786325579215|2646|2007
30786325581919|7942|2007
30786325582143|3007|2007
30786325585514|6475|2007
30786325588693|1801|2000
32985348836610|2212|2005
32985348836980|2205|2002
32985348837531|2382|2003
4435|3009|2005
7132|2437|2003
8338|2214|2001
2199023257545|3009|2001
2199023259820|6802|2006
2199023259917|4746|2006
2199023260090|2209|2000
2199023262881|2524|2005
2199023265160|2214|2007
2199023265994|3013|2006
2199023266297|1875|2004
4398046512267|1959|2002
4398046512578|5865|2005
4398046513283|2242|2007
4398046513833|2917|2003
4398046516895|2208|2003
4398046517437|2212|2003
4398046518448|2986|2004
4398046521105|5046|2002
6597069767747|1953|2007
6597069770780|6149|2008
6597069770886|1803|2005
6597069771588|1853|2004
6597069771931|4968|2002
6597069772223|6138|2006
6597069773531|1985|2002
6597069774634|5271|2003
6597069776639|7954|2000
8796093023613|6168|2004
8796093026250|6801|2003
8796093030507|2434|2007
8796093031224|7899|2003
8796093031673|4513|1999
10995116278281|4589|2004
10995116278453|6801|2008
10995116278785|6624|2005
10995116281048|2209|2004
10995116282597|5036|2004
10995116285227|3015|2011
10995116287794|6545|2007
10995116288168|3010|2003
10995116288299|4513|2008
13194139534569|7942|2006
13194139534853|5272|2001
13194139535287|2831|2007
13194139537574|7898|2008
13194139538738|5153|2003
15393162789103|7886|2003
15393162792989|6801|2004
15393162796355|2212|2007
15393162796552|3013|2001
15393162797346|7899|2000
15393162797983|6796|2003
15393162798574|7945|2002
17592186047246|6201|2002
17592186048044|6801|1999
17592186048310|4923|2005
17592186050886|1600|2002
17592186054110|2491|2004
19791209300631|3007|2003
19791209301229|1852|2000
19791209303133|2210|2007
19791209303735|2834|1998
19791209304980|2214|2008
19791209309982|4744|2009
21990232557489|2206|2003
21990232557705|1954|2000
21990232558849|4980|2005
21990232560507|1852|2008
21990232560559|5943|2002
21990232563059|2206|2004
21990232563158|5035|2007
21990232564122|2210|2005
21990232565361|2521|2005
24189255812580|2383|2006
24189255812857|4515|1999
24189255817102|5521|2009
24189255817682|3013|2004
24189255818324|4671|2010
26388279069382|1850|2003
26388279071253|6799|2006
26388279071362|3007|2004
26388279072775|1840|2006
26388279077472|2214|2000
28587302323655|1769|2010
28587302330893|5265|2007
28587302332111|4991|2005
28587302333085|5529|2003
30786325579148|6798|2007
30786325582837|3009|2008
30786325583315|2653|2004
30786325586143|4598|2004
32985348835762|6493|2003
32985348838320|7871|2009
32985348840058|7950|2004
32985348840974|5988|2004
555|2209|1999
4759|7901|2004
6079|4678|2003
6739|1602|2004
9234|3013|2009
9796|1815|2011
10402|6345|2001
10821|4955|2001
2199023256403|3011|2003
2199023260755|3008|2001
2199023260852|3013|2005
4398046511628|5947|2003
4398046513647|3012|2007
4398046514779|2211|1999
4398046515167|2213|2001
4398046515352|6475|2004
4398046518952|6800|2000
6597069769378|1858|2003
6597069769920|3014|2005
6597069772335|2450|2005
8796093024559|6537|2002
8796093024637|6309|2001
8796093024837|1637|2006
8796093025828|2211|2002
8796093026107|2209|1999
8796093027338|2209|2004
8796093027945|6545|2004
8796093032772|2366|2005
10995116286201|7898|2004
10995116287885|6622|2002
13194139533460|2206|2007
13194139536306|5236|2003
13194139536501|2205|1999
13194139538552|2212|2001
13194139539045|5269|2004
13194139541627|6352|2004
15393162793482|2206|2006
15393162794035|2214|2001
15393162794796|6802|2002
15393162796592|2441|2001
15393162798825|1917|2000
15393162799731|2210|2005
17592186044519|4941|2008
17592186046401|6203|2007
17592186048435|2526|2000
17592186050756|4745|2005
17592186055184|7940|1998
19791209300124|6616|2004
19791209302163|1981|1999
19791209302836|2945|2003
19791209304711|3012|2001
19791209306736|1806|2001
21990232555753|6509|2006
21990232557730|6165|2011
21990232560660|6432|2002
21990232561838|2561|2006
24189255811862|2486|2005
24189255812574|5529|2001
24189255812802|6409|1999
24189255813943|2214|1999
24189255814337|4595|2001
24189255817370|3011|2000
24189255818030|3008|2007
24189255820384|7309|2000
24189255820621|4944|2004
26388279069203|5236|1999
26388279070939|2285|2006
26388279073751|5038|2001
26388279076187|1981|1998
26388279077364|3014|2008
28587302323934|1989|2002
28587302328071|1602|2010
28587302331690|2834|2000
30786325578144|5148|1999
30786325587907|2828|2000
32985348835991|4510|2003
32985348836120|2943|2003
1874|3453|2006
2304|2836|2000
3219|5886|1999
3944|1603|2007
4008|6545|2006
5950|2831|2005
7945|2211|2001
10092|1851|2001
10900|3700|2006
2199023255869|5236|2001
2199023260548|5982|2003
2199023261812|5156|2008
2199023262319|2439|2003
2199023263744|6098|2010
2199023263802|2208|2007
2199023264234|2208|2004
4398046511154|6433|2000
4398046512637|6799|2005
4398046518205|2833|2005
6597069775723|5527|2010
6597069775816|5142|2010
8796093023506|5461|2001
8796093025530|1980|2010
8796093026696|4954|2009
8796093027185|1985|2003
8796093028334|4992|2008
8796093030880|4676|2006
8796093031363|3014|2004
8796093031480|4996|2008
8796093032032|6804|2000
8796093032559|3006|2008
10995116280797|2209|2006
10995116284594|5502|2009
10995116286941|1973|2000
10995116287923|5265|1999
13194139533523|2944|2007
13194139536419|5047|2010
13194139536902|2516|2004
13194139536961|2213|2003
13194139543191|5272|2005
15393162788865|2945|2007
15393162798789|2991|2007
17592186044605|2206|2008
17592186049802|2491|2007
17592186050298|7900|2002
19791209304132|4308|2007
21990232557420|2456|2003
21990232557756|6171|2000
21990232560085|2834|2003
21990232565535|6492|2008
21990232566332|2207|2003
24189255811103|2832|2001
24189255811782|6441|2006
24189255812105|2208|2002
24189255822008|5816|2004
26388279066717|1605|2007
26388279066958|7900|2002
26388279067671|6798|2001
26388279076909|6433|2003
26388279076957|2180|2005
28587302323020|7893|2010
28587302326514|6548|2005
28587302327122|5044|2004
28587302328935|3011|2002
30786325582683|3011|2002
30786325582875|5242|2002
30786325588227|2206|2007
32985348835100|3006|2007
32985348836491|3006|2006
32985348837502|5987|2005
32985348838894|7901|2008
32985348840569|3011|2005
32985348840770|3008|2005
35184372093522|2828|2000
35184372095672|2385|2003
1909|2205|2005
7423|1584|1999
10172|5272|2002
2199023257977|6205|2008
2199023260557|4743|1998
2199023264272|4991|2007
2199023265470|3010|2000
2199023266125|5981|2004
4398046514157|5982|2008
4398046514618|4595|2011
4398046515688|2649|2003
4398046516599|1852|2003
4398046517039|2208|2002
4398046520793|2694|2007
4398046521818|6474|2005
6597069766964|2835|2001
6597069768050|2207|2006
6597069771621|3014|2006
6597069772803|4512|2001
6597069776065|6128|2008
6597069777568|4518|2006
8796093022392|7900|2000
8796093022423|5168|2009
8796093024749|2836|2001
8796093024759|2210|2002
8796093027515|2208|2008
8796093030092|5945|2010
10995116280941|4747|2006
10995116283441|2874|2007
10995116287645|1956|2004
13194139533432|5188|2004
13194139534384|7951|2007
13194139535568|1969|2002
13194139536106|4745|2006
13194139542921|2211|2003
13194139543838|6551|2002
15393162790101|6435|2006
15393162791204|2210|2002
15393162792600|6204|2002
15393162794223|6803|2001
15393162798240|2648|2004
17592186045019|4749|2005
17592186045074|3009|2007
19791209301454|4939|2009
19791209305213|3011|2008
21990232556497|6204|1998
21990232560607|1911|2007
24189255813217|5160|2001
24189255814524|7945|2011
24189255814752|5080|2006
24189255815219|2177|2002
26388279068864|7814|2001
26388279069515|3011|2002
26388279069942|4662|2012
26388279070275|2214|2008
26388279071994|4826|2009
26388279072017|3101|2001
28587302324393|1980|2004
28587302325910|5269|2007
28587302325939|6201|2008
28587302326419|2977|2004
28587302328096|2941|2003
28587302328264|7918|2010
28587302332261|1962|2007
30786325578670|5735|2007
30786325580338|2484|2001
30786325584930|1959|2008
30786325585157|4518|2011
30786325585661|3006|2006
30786325586064|6481|2000
30786325588274|6487|2011
32985348834776|2205|2004
32985348839201|2827|2007
32985348842793|6671|2003
35184372093412|3013|2001
3331|5948|2008
2199023256363|5521|1999
2199023260494|6389|2006
2199023261247|1582|2012
2199023263835|2987|2001
2199023265775|3007|2002
2199023266355|3010|2005
4398046511937|5141|1999
4398046514484|3015|1999
4398046515545|4515|2001
4398046517810|4669|2005
4398046519064|1602|1999
4398046520861|3013|1999
6597069766725|4762|2000
6597069767686|1838|2005
6597069769909|3015|2005
6597069771031|7900|2004
6597069771965|5236|2009
6597069774241|5803|2002
8796093025751|6203|2006
8796093031818|6798|2009
10995116277820|2836|2010
10995116278238|5981|2009
10995116280896|5170|1998
10995116281261|5987|2008
10995116281711|2214|2006
10995116287203|2827|2011
13194139534803|5241|2010
13194139534816|1577|2008
13194139534982|1858|2006
13194139535717|6435|2010
13194139537169|6152|2003
13194139537387|6796|2003
13194139538195|1852|2007
13194139539473|7943|2005
13194139540753|1983|2009
13194139542640|2212|2006
15393162791313|5801|2005
15393162793832|5191|2007
15393162796561|2298|2005
17592186045360|2836|2000
17592186046846|1838|2004
17592186047971|2213|2001
17592186055089|5236|2003
19791209300625|1851|2001
19791209301201|2519|2003
19791209306424|6434|2002
19791209306891|5044|2008
19791209308155|1983|1998
19791209308300|1986|2001
19791209310039|2225|2001
19791209310388|3007|2005
21990232557038|2214|2000
21990232558713|1989|2006
21990232560982|5235|2004
21990232562330|5522|2008
