Person.id:START_ID(Person)|Organisation.id:END_ID(Organisation)|workFrom
26388279073058|916|2008
26388279073058|907|2008
26388279074355|921|2003
26388279074355|429|2003
28587302322873|337|2001
28587302322873|341|2000
28587302322873|344|2000
28587302327183|1557|2002
28587302327183|1559|2002
28587302327183|1561|2003
28587302327320|661|2009
28587302330388|1557|2007
28587302330388|1560|2001
28587302332178|558|2002
28587302332688|1249|2008
28587302332688|1553|2007
28587302332688|1238|2007
28587302332688|1239|2007
28587302332899|1506|2009
28587302332899|1443|2010
28587302332899|1461|2005
28587302332899|1462|2006
28587302332899|1531|2011
30786325578788|464|2009
30786325578788|451|2001
30786325578788|444|2009
30786325578788|477|2009
30786325580358|862|2007
30786325580358|863|2006
30786325581635|801|2007
30786325581812|545|2002
30786325581812|554|2002
30786325581812|540|2003
30786325581812|541|2003
30786325585081|400|1999
30786325586109|128|2004
30786325586109|123|2004
30786325586109|126|2004
30786325586916|1412|2005
30786325586916|1413|2004
30786325586916|1414|2004
32985348834675|907|2010
32985348837637|950|2004
32985348837637|951|2003
32985348837706|1174|2007
32985348837706|1178|2009
32985348837885|208|1998
32985348837885|207|1999
32985348838332|896|2001
32985348838332|891|2002
32985348838332|892|2001
32985348838882|953|2003
32985348838882|954|2004
32985348838882|959|2005
32985348840984|466|2004
32985348840984|483|2004
32985348840984|446|2004
4598|552|2003
4598|541|2004
4598|542|2004
6243|934|2006
6243|923|2005
8865|950|2009
8865|967|2008
8865|957|2008
2199023259981|1233|2007
2199023259981|553|2006
2199023259981|540|2006
2199023259981|541|2006
2199023261329|400|2002
2199023261329|399|2008
2199023262694|760|2000
2199023262694|761|2001
2199023262694|762|2000
2199023262694|763|2001
2199023263826|205|2008
2199023263826|206|2009
2199023263826|207|2009
2199023264018|808|2010
2199023264018|794|2007
2199023264999|199|2005
2199023264999|201|2006
2199023264999|202|2005
2199023264999|204|2006
2199023265744|921|2009
2199023265744|938|2009
2199023265744|924|2009
2199023265744|925|2008
2199023265900|586|2000
2199023265900|572|2000
2199023265900|557|1999
4398046517338|17|2003
4398046517338|532|2002
4398046517338|533|2002
4398046517338|534|2003
4398046517338|537|2003
4398046517694|955|2005
4398046517694|956|2004
4398046518070|1511|2010
4398046518070|1498|2008
4398046518070|1531|2012
4398046518070|1453|2004
4398046519425|838|2007
4398046519425|841|2007
4398046521458|288|2000
4398046521458|274|2001
4398046521458|271|2000
6597069770193|865|2006
6597069770193|866|2006
6597069774777|329|2005
6597069774777|331|2004
6597069776224|800|2004
6597069776224|804|2004
6597069776224|806|2005
6597069776224|1099|2003
6597069776224|781|2004
6597069776247|1042|2003
6597069776247|1049|2002
6597069777354|580|2011
6597069777354|585|2011
8796093023143|1297|2008
8796093023143|1300|2008
8796093023143|1301|2009
8796093023461|480|2000
8796093023461|446|2007
8796093024242|545|2008
8796093024242|549|2007
8796093024935|96|2012
8796093024935|81|2011
8796093024935|88|2007
8796093029038|1568|2011
8796093029038|1567|2010
8796093029320|1|2004
8796093029320|1491|2003
8796093029320|1509|2005
8796093029320|1526|2005
8796093029320|1503|2003
8796093031175|549|2002
8796093031175|552|2003
8796093031175|539|2011
8796093031175|542|2002
8796093032245|545|2008
8796093032245|551|2000
8796093032245|540|2011
8796093032607|932|2007
8796093032607|919|2005
8796093032607|905|2007
8796093032607|924|2006
13194139533850|107|2004
13194139533850|108|2004
13194139533850|109|2004
13194139536952|1226|2005
13194139536952|1227|2004
13194139538575|929|2006
13194139538575|921|2004
13194139539550|949|2004
13194139541511|1542|2013
13194139541511|1543|2013
13194139541511|1547|2012
13194139541511|1548|2011
13194139541511|1550|2012
15393162789992|545|2002
15393162789992|546|2003
15393162789992|554|2003
15393162789992|543|2003
15393162790562|1250|2004
15393162790796|771|2007
15393162790796|938|2006
15393162790796|908|2006
15393162790846|1|2003
15393162790846|3|2002
15393162795140|48|2003
15393162795140|35|2002
15393162795140|52|2003
15393162795140|53|2002
15393162795140|59|2003
15393162797342|1132|2004
15393162797735|551|2011
15393162797735|538|2006
15393162798261|1557|2001
15393162798261|872|2001
15393162798261|1561|2001
17592186044504|915|2009
17592186044504|923|2001
17592186044504|927|2003
17592186052669|1558|2002
17592186052669|1559|2003
17592186052669|1560|2003
17592186052669|1561|2004
17592186053922|532|2004
17592186053922|535|2004
17592186053922|537|2004
19791209300058|1558|2003
19791209300058|1559|2003
19791209301789|209|2007
19791209301789|205|2007
19791209301789|206|2007
19791209304460|548|2003
19791209304460|837|2003
19791209304460|542|2005
21990232556714|555|2004
21990232556714|575|2004
21990232557292|1443|2003
21990232557292|1528|2003
21990232557292|1516|2004
21990232557481|594|2003
21990232557481|596|2004
21990232557481|600|2004
21990232559223|1145|2010
21990232559223|1165|2008
21990232559223|1167|2008
21990232561211|208|2000
21990232561211|206|1999
21990232561211|207|2000
21990232562816|80|2005
21990232562816|86|2005
21990232562816|87|2005
21990232562816|88|2005
21990232565039|1451|2004
21990232565098|533|2008
21990232565098|534|2010
21990232565098|535|2010
21990232566008|467|2002
21990232566008|473|2008
21990232566008|461|1999
21990232566008|478|2000
24189255816107|1320|2004
24189255816107|1321|2003
24189255816107|1322|2003
24189255816107|1323|2003
24189255816107|1324|2003
24189255817648|195|2004
24189255817648|196|2005
24189255817648|199|2005
24189255817648|202|2004
24189255818301|930|2009
24189255818301|535|2010
24189255818301|905|2009
24189255818301|922|2010
24189255819267|535|1999
24189255819267|536|1999
26388279068731|546|2011
26388279068731|547|2010
26388279068731|548|2009
26388279068731|551|2009
26388279068731|552|2011
28587302322741|145|1998
28587302322741|182|1999
28587302322741|135|1999
28587302322741|185|2000
28587302326875|797|2009
28587302326875|799|2009
30786325581370|1065|2005
30786325588726|816|2008
30786325588726|817|2008
32985348833558|481|2009
32985348833558|454|2009
32985348833558|455|2008
32985348833558|456|2009
32985348835088|316|2006
32985348835805|168|2003
32985348835805|158|2003
32985348835805|159|2004
32985348842795|546|2009
32985348842795|548|2008
32985348842795|552|2008
32985348842795|554|2007
35184372094803|864|2005
35184372094803|866|2007
1922|1001|2002
1922|1321|2002
1922|1323|2002
4693|930|1999
5456|920|2005
5456|907|2008
5456|939|2010
5456|924|2012
5468|889|2009
5468|890|2007
5468|895|2008
6225|1017|2008
6225|1018|2009
6225|1019|2012
6225|1022|2007
6789|1568|2006
6789|1567|2007
7216|533|2006
7216|536|2008
8092|1202|2011
8092|1220|2011
8092|1214|2010
10039|1557|2004
2199023259614|925|2012
2199023259620|1320|2012
2199023259620|1323|2012
2199023259620|1325|2012
2199023260870|549|2006
2199023260870|551|2005
2199023260870|552|2005
2199023264045|906|2008
2199023264814|915|2010
2199023264814|919|2008
2199023266163|166|2002
2199023266163|154|2001
2199023266163|173|2003
2199023266163|159|2002
2199023266324|178|2009
2199023266324|183|2008
2199023266324|155|2008
2199023266324|157|2008
2199023266324|175|2008
4398046512764|592|2003
4398046512764|600|2004
4398046512764|601|2008
4398046512764|602|2003
4398046512764|605|2011
4398046513754|1174|2001
4398046513754|1175|2002
4398046513754|1179|2002
4398046515215|1237|2009
4398046515215|1260|2010
4398046516633|834|2005
4398046516633|835|2003
4398046516633|838|2004
4398046516633|841|2004
4398046516633|842|2004
4398046519481|792|2000
4398046519887|281|2012
4398046519887|266|2010
4398046519887|267|2009
4398046519887|268|2009
4398046519887|271|2011
4398046522002|546|2005
4398046522002|552|2009
4398046522002|553|2007
4398046522002|540|2007
4398046522002|542|2009
6597069766961|864|2004
6597069766961|865|2003
6597069766961|866|2004
6597069769604|1504|2009
6597069769604|1489|2008
6597069769604|1499|2009
6597069769604|1483|2009
6597069769604|1452|2008
6597069770702|561|2010
6597069770702|572|2009
6597069770702|575|2009
6597069773103|837|2011
6597069773103|842|2011
6597069773103|830|2010
6597069773103|831|2010
6597069773842|896|2005
6597069773842|889|2005
6597069773842|890|2004
6597069773842|893|2004
6597069773842|895|2004
6597069774122|588|2008
8796093022641|723|2005
8796093022641|1559|2005
8796093022641|1560|2006
8796093022641|1561|2005
8796093023138|1013|2000
8796093023138|1021|2002
8796093023138|1022|1998
8796093030945|1176|2007
10995116280508|679|2007
10995116280508|670|2006
10995116283556|41|2005
13194139538935|0|2004
13194139538935|1|2004
13194139538935|6|2005
13194139539868|916|2002
13194139540816|456|2007
13194139540816|206|2007
13194139542993|1321|2001
13194139542993|282|2001
13194139542993|267|2001
13194139543793|546|2011
13194139543793|548|2010
13194139543793|758|2010
13194139543793|553|2009
13194139543793|538|2010
15393162789410|1073|2005
15393162789410|1058|2009
15393162789410|1087|2007
15393162799726|551|2012
17592186046758|1557|2004
17592186046830|1539|2009
17592186046830|1545|2010
17592186046830|1549|2009
17592186047743|590|2003
17592186047743|606|2001
17592186047743|591|2001
17592186048493|48|2002
17592186048493|64|2001
17592186048493|37|2001
17592186048493|78|2002
17592186049298|913|2009
17592186049298|907|2009
17592186049298|910|2008
17592186049484|679|2010
17592186049484|665|2006
17592186049484|668|2011
17592186049484|669|2002
17592186052888|735|2004
17592186054401|786|2010
17592186054401|788|2012
19791209301403|1472|2005
19791209301403|1477|2004
19791209301403|1494|2004
19791209301403|1463|2005
19791209301403|1512|2005
19791209301577|576|2003
19791209301577|580|2004
19791209301577|559|2005
19791209301717|545|2005
19791209304899|178|2010
19791209304899|156|2009
19791209305763|976|2010
19791209305854|1152|2001
21990232555940|936|2001
21990232555940|283|2000
21990232559951|51|2005
21990232559951|39|2005
21990232559951|59|2006
24189255811398|1011|2005
24189255811398|265|2004
24189255811398|286|2005
24189255811398|271|2006
24189255813494|1568|2000
24189255814438|106|2002
24189255814438|108|2001
24189255814438|109|2002
24189255815607|928|2009
24189255815607|915|2009
24189255815607|934|2008
24189255815607|937|2010
24189255817388|1094|2007
24189255817388|1080|2007
24189255817427|777|2006
24189255818526|933|2004
24189255818526|918|2003
24189255818526|934|2002
24189255818526|919|2002
24189255820453|929|2006
24189255820453|933|2006
26388279069549|212|2003
26388279069549|229|2003
26388279069739|545|2009
26388279069739|551|2008
26388279069739|541|2009
26388279069739|543|2009
26388279070667|545|2007
26388279070667|549|2007
26388279070667|551|2007
26388279070667|541|2008
26388279070667|543|2008
26388279074202|1560|2007
28587302322686|296|2005
28587302322686|297|2005
28587302322686|298|2004
28587302327505|1472|2009
28587302327505|1474|2009
28587302327505|1458|2009
28587302327505|1468|2009
28587302327505|1470|2008
28587302327536|1557|2009
28587302327536|1561|2008
28587302328276|680|2003
28587302328523|948|2006
28587302328523|942|2010
30786325579136|7|2008
30786325579136|11|2009
30786325582142|949|2012
30786325582142|950|2009
30786325582142|951|2008
30786325582142|952|2008
30786325583551|550|2006
30786325583551|553|2005
30786325586018|297|2003
30786325586018|298|2002
32985348833849|944|2003
32985348833849|948|2002
32985348833849|942|2003
32985348836386|33|2004
32985348836386|910|2008
32985348836386|926|2011
32985348841441|209|2010
32985348841441|206|2010
32985348842332|544|2004
32985348842332|545|2004
32985348842332|538|2005
32985348842332|539|2005
32985348844221|546|2001
32985348844221|549|2002
32985348844221|554|2001
32985348844221|540|2002
1845|1567|2005
4822|33|2008
4822|634|2009
5976|560|2009
5976|583|2010
5976|570|2010
5976|571|2009
6096|548|2008
8641|176|2005
8641|914|2005
8641|935|2004
8641|926|2004
9888|297|2011
2199023262956|926|2009
2199023265546|977|2010
2199023265546|981|2008
2199023265546|969|2007
2199023265546|972|2008
2199023265546|975|2008
4398046511463|179|2001
4398046511463|138|2001
4398046511463|157|2000
4398046512636|165|2005
4398046512636|154|2004
4398046513254|813|2009
4398046518837|678|2007
4398046518837|665|2005
4398046518837|667|2005
4398046519908|760|2005
4398046519908|762|2003
4398046519908|764|2004
4398046519955|145|2003
4398046519955|148|2002
4398046519955|183|2003
4398046519955|154|2002
4398046519955|143|2002
6597069766695|1093|2007
6597069766695|1095|2007
6597069766695|1047|2007
6597069766695|1083|2007
6597069767625|1557|1999
6597069767625|1560|2001
6597069767625|1561|2001
6597069769535|1297|2005
6597069770742|758|2005
6597069772140|453|2009
6597069772140|462|2009
6597069772140|446|2009
6597069772231|35|2004
6597069772231|1011|2004
6597069772231|70|2003
6597069772231|806|2003
6597069776788|1557|2011
8796093022467|259|2010
8796093022467|887|2011
8796093022467|888|2011
8796093022467|889|2010
8796093024736|1036|2005
8796093024736|1023|2006
8796093026847|1043|1999
8796093026847|1080|1998
8796093029053|199|2009
8796093029053|203|2000
8796093029311|808|2009
8796093029311|793|2009
8796093029311|781|2008
8796093029412|545|2008
8796093029412|548|2009
8796093029412|552|2009
8796093029412|553|2007
8796093030006|961|2005
8796093030006|953|2006
8796093030006|959|2004
10995116281374|544|2003
10995116281374|541|2003
10995116281374|543|2002
10995116281717|1200|2010
10995116281717|1185|2009
10995116281717|1186|2010
10995116281717|1206|2010
10995116286015|449|2006
10995116286015|483|2005
10995116286015|489|2005
10995116286015|459|2005
13194139533332|776|2011
13194139533589|352|2001
13194139533589|363|2002
13194139533589|364|2010
13194139533589|349|2005
13194139535371|400|2005
13194139536738|802|2007
13194139536738|795|2006
13194139536738|14|2007
13194139538890|1557|2011
13194139538890|1561|2012
13194139542470|544|2007
13194139542470|548|2007
13194139542470|554|2007
13194139542470|542|2007
13194139542895|1104|2007
15393162792273|674|2007
15393162792273|677|2002
15393162794610|1119|2004
15393162796756|546|2010
15393162796756|554|2009
15393162796756|541|2008
15393162798732|1354|2005
17592186054130|897|2011
17592186054130|889|2010
17592186054130|890|2009
17592186054130|891|2012
17592186054130|893|2010
17592186054397|704|2009
17592186054397|706|2009
17592186054397|711|2009
17592186054397|712|2009
17592186054397|699|2009
19791209303604|912|2010
19791209303604|932|2010
19791209303604|908|2007
19791209304421|958|2005
19791209309964|0|2005
19791209309964|1117|2005
19791209310527|912|2011
19791209310527|933|2012
19791209310527|924|2005
19791209310527|926|2006
21990232564424|550|2010
21990232564424|554|2009
21990232564424|539|2010
21990232564424|1324|2009
21990232564424|542|2010
21990232565311|672|2003
21990232565311|664|2006
21990232565311|665|2011
21990232565311|667|2009
21990232565753|769|2012
21990232565753|763|2012
24189255811694|770|2006
24189255811694|761|2006
24189255811694|765|2007
24189255811694|766|2007
24189255812103|788|2010
24189255812103|806|2012
24189255812103|798|2010
24189255812103|782|2012
24189255818166|758|2004
24189255819940|702|2011
26388279068740|416|2008
26388279068740|434|2008
26388279070293|1558|2007
26388279070293|1559|2007
26388279070293|1561|2006
26388279074620|933|2009
26388279074620|934|2008
26388279074620|938|2008
28587302325316|1|2012
28587302325316|3|2004
28587302325316|5|2003
28587302325591|347|2010
28587302325591|348|2009
28587302325591|365|2001
28587302325591|350|2003
28587302325591|366|2012
28587302328557|419|2011
28587302328557|439|2012
28587302328557|415|2012
28587302330821|1557|2004
28587302330821|1559|2004
28587302330821|1560|2004
28587302332150|916|2000
28587302332150|918|2007
28587302332150|937|2001
28587302332150|906|2009
28587302332150|925|2002
30786325577960|659|2001
30786325577960|646|2000
30786325577960|647|1999
30786325577960|636|1999
30786325578795|672|2001
30786325578795|675|2011
30786325578795|676|2010
30786325578795|664|2011
30786325579035|1010|1998
30786325579035|535|2000
30786325579035|537|2000
30786325583812|548|2002
30786325583812|550|2003
30786325583812|552|2002
30786325583812|538|2003
30786325585606|892|2006
30786325585606|893|2005
30786325587523|675|2000
30786325587523|665|1999
32985348834262|33|2002
32985348834262|24|2001
32985348834262|26|2002
32985348834262|28|2000
32985348834262|524|2002
32985348834823|258|2002
32985348834823|259|2003
32985348835115|936|2007
32985348835115|938|2008
32985348835115|907|2007
32985348841279|1535|2003
32985348842048|596|2008
32985348842441|674|2001
32985348842441|677|2000
32985348842441|680|2001
35184372096904|101|2012
65|758|2008
2329|924|2002
2845|1296|2009
3247|400|2006
3247|399|2007
3606|1297|2001
3606|1299|2006
3606|1302|2005
4296|908|2003
4296|927|2002
4517|23|2008
4517|25|2009
4517|29|2007
5852|673|2008
5852|674|2010
5852|664|2012
5852|681|2007
5852|671|2007
5885|914|2009
5885|772|2008
5885|924|2007
5885|910|2011
5885|911|2010
6013|1568|2007
7567|1117|2008
7567|1118|2008
8436|898|2003
8436|900|2003
8436|901|2003
8436|902|2003
9995|546|2006
9995|548|2004
9995|607|2005
2199023255981|1088|2005
2199023255981|1041|2009
2199023256530|195|2005
2199023256530|201|2005
2199023256530|202|2007
2199023256530|204|2005
2199023258280|1118|2010
2199023259063|3|2003
2199023261235|895|2009
2199023266303|546|2005
2199023266303|1010|2006
2199023266303|550|2006
4398046512826|916|2004
4398046512826|917|2003
4398046512826|1403|2003
4398046512826|910|2002
4398046515161|915|2008
4398046515161|938|2009
4398046515161|922|2009
4398046515161|923|2009
4398046516395|579|2011
4398046516395|559|2011
4398046517240|924|2003
4398046518350|785|2007
4398046518350|804|2007
4398046518350|806|2007
4398046520260|920|2006
4398046520260|1226|2007
4398046520260|926|2007
4398046521391|809|2011
4398046521391|810|2013
4398046521391|811|2013
4398046521391|812|2013
4398046521391|813|2012
6597069772822|911|2005
6597069773166|1366|2008
6597069773166|60|2009
8796093026188|786|2012
8796093026188|788|2012
8796093028172|946|2008
8796093028172|547|2008
8796093028172|551|2008
8796093028172|540|2007
8796093028172|543|2008
8796093029854|561|2009
8796093029854|562|2009
8796093029854|567|2009
8796093029854|585|2009
8796093029854|587|2009
8796093031803|928|2005
8796093031803|1292|2004
10995116278915|933|2007
10995116278915|936|2006
10995116278915|923|2007
10995116278915|909|2007
10995116278915|926|2007
10995116279491|944|2008
10995116279491|865|2009
10995116280436|914|1998
10995116280436|905|1999
10995116280436|921|1998
10995116280436|927|1999
10995116280436|911|1999
10995116285358|461|2000
10995116287429|692|2006
10995116287429|683|2006
10995116287916|1089|2010
10995116287916|1092|2009
10995116288012|1025|2006
10995116288188|1176|2004
10995116288188|1178|2003
10995116288188|1179|2003
13194139535450|1394|2009
13194139535450|1399|2012
13194139535450|1404|2009
13194139535878|546|2011
13194139535878|551|2009
13194139535878|552|2010
13194139535878|553|2004
13194139538128|1296|2009
13194139538128|1300|2009
13194139538128|1302|2009
13194139538406|909|2003
13194139540440|1178|2001
13194139540440|1179|2000
13194139541453|897|2011
13194139542764|576|2011
13194139542764|565|2011
13194139542764|582|2011
13194139543769|924|2005
15393162789569|1323|2010
15393162789569|1324|2010
15393162793063|914|2002
15393162793063|909|2000
15393162794474|914|2008
15393162794474|916|2008
15393162794474|404|2009
15393162794474|922|2010
15393162794474|907|2009
15393162794494|545|2000
15393162794494|548|2001
15393162794494|538|2001
15393162794494|554|2000
15393162796861|1558|2010
15393162799486|149|2003
15393162799486|552|2003
15393162799486|539|2002
15393162799486|542|2002
17592186045981|725|2001
17592186045981|717|2000
17592186047318|398|2012
17592186047761|592|2005
17592186047761|593|2006
17592186047761|596|2006
17592186047761|599|2007
17592186047761|603|2006
17592186048352|797|2004
17592186052685|723|2007
17592186052685|725|2007
17592186052685|726|2008
17592186052685|717|2008
17592186053162|1538|2006
17592186053162|399|2007
17592186053700|546|2002
17592186053700|548|2002
